int Index	int Constellation	string Constellation Name	int Stars Subgroup	int Star Number	string Star Name	float Star Size	Color Star Color 	V2 Cel Coordinates(hr,Degree)	V2 Cel Coordinates (Normalized)	 float Theta	float Phi	float radiusLY +	V3 SphericalToRectangular
0	0	Constellation_Andromeda	0	0	Star_Sphere	1.1	RGBA(1.000, 1.000, 1.000, 1.000)	(0.13974, 29.07855)	(-0.011645, 0.323095)	1.06328	0.03658385	400	(349.3478, -12.78619, 194.4033)
1	0	Constellation_Andromeda	0	1	Star_Sphere (1)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(2.06553, 42.3225)	(-0.1721275, 0.47025)	0.8321294	0.5407545	400	(253.5497, -152.2454, 269.3212)
2	0	Constellation_Andromeda	0	2	Star_Sphere (2)	0.75	RGBA(1.000, 1.000, 1.000, 1.000)	(0.6558, 30.84255)	(-0.05465, 0.342695)	1.032492	0.1716881	400	(338.3826, -58.67388, 205.0722)
3	0	Constellation_Andromeda	0	3	Star_Sphere (3)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(0.6432301, 29.3013)	(-0.0536025, 0.32557)	1.059392	0.1683972	400	(343.8891, -58.46365, 195.7609)
4	0	Constellation_Andromeda	0	4	Star_Sphere (4)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(0.78852, 24.2505)	(-0.06571, 0.26945)	1.147545	0.2064341	400	(356.96, -74.75361, 164.2907)
5	0	Constellation_Andromeda	0	5	Star_Sphere (5)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(0.9535201, 23.3991)	(-0.07946, 0.25999)	1.162405	0.249631	400	(355.7255, -90.6918, 158.8534)
6	0	Constellation_Andromeda	0	6	Star_Sphere (6)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(0.61458, 33.69645)	(-0.051215, 0.374405)	0.9826823	0.1608967	400	(328.497, -53.31494, 221.9172)
7	0	Constellation_Andromeda	0	7	Star_Sphere (7)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(23.63514, 43.2666)	(0.030405, 0.48074)	0.8156517	6.187665	400	(289.9412, 27.77976, 274.1576)
8	0	Constellation_Andromeda	0	8	Star_Sphere (8)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(23.03187, 42.3171)	(0.0806775, 0.47019)	0.8322236	6.02973	400	(286.3227, 74.16512, 269.2933)
9	0	Constellation_Andromeda	0	9	Star_Sphere (9)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(23.67336, 44.32905)	(0.02722, 0.492545)	0.7971085	6.197671	400	(285.0898, 24.43882, 279.5112)
10	0	Constellation_Andromeda	0	10	Star_Sphere (10)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(23.62635, 46.44855)	(0.0311375, 0.516095)	0.7601162	6.185364	400	(274.2847, 26.91681, 289.9024)
11	0	Constellation_Andromeda	0	11	Star_Sphere (11)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(0.94584, 38.46825)	(-0.07882, 0.427425)	0.8993987	0.2476203	400	(303.6287, -76.75995, 248.8324)
12	0	Constellation_Andromeda	0	12	Star_Sphere (12)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(0.83013, 41.06475)	(-0.0691775, 0.456275)	0.8540812	0.2173275	400	(294.4929, -65.02845, 262.7646)
13	0	Constellation_Andromeda	0	13	Star_Sphere (13)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(1.15845, 47.2356)	(-0.0965375, 0.52484)	0.7463796	0.3032815	400	(259.199, -81.11256, 293.6607)
14	0	Constellation_Andromeda	0	14	Star_Sphere (14)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(1.63347, 48.6162)	(-0.1361225, 0.54018)	0.7222835	0.4276415	400	(240.6261, -109.6701, 300.1192)
